City Name,Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands)
Bengaluru,Mahadevapura,Hudi,188,4.3,49884,26149,23735,5874,NA,NA,NA
Bengaluru,Mahadevapura,Devasandra,189,2.1,68554,36812,31742,7498,NA,NA,NA
Bengaluru,Mahadevapura,A Narayanapura,190,3.5,65890,35202,30688,8253,NA,NA,NA
Bengaluru,East,C.V. Raman Nagar,191,9.7,71004,40347,30657,8108,NA,NA,NA
Bengaluru,East,New Tippa Sandra,192,19,80037,42157,37880,10334,NA,NA,NA
Bengaluru,East,Maruthi Seva Nagar,193,6.6,58355,30522,27833,7115,NA,NA,NA
Bengaluru,East,Sagayara Puram,194,7.4,51911,26838,25073,5898,NA,NA,NA
Bengaluru,East,SK Garden,195,3.4,57335,29504,27831,6662,NA,NA,NA
Bengaluru,East,Ramaswamy Palya,196,11.4,45608,23474,22134,6245,NA,NA,NA
Bengaluru,East,Jaya Mahal,197,5.7,62057,32212,29845,6676,NA,NA,NA
Bengaluru,West,Raj Mahal Guttahalli,198,30.5,50440,26172,24268,5786,NA,NA,NA
